Name,Price,Discount
RichRipple T500+PRO 2 Smart Watch Band Health Monitor Smart Watches,"KSh 1,115",42%
"Rashnik Bullet Thermos, 1000ml",KSh 599,1%
Oraimo Rock Stereo Bass Super Long Playtime IPX5 Waterproof True Wireless Earbuds,"KSh 2,050",22%
Nunix NU-9090A 5.1 Woofer/mini Home Theatre Speaker System,"KSh 13,500",2%
Rashnik 3 Pcs White Bowl Set,KSh 659,1%
USN Micronized Creatine Monohydrate 200g - 40 Servings.,"KSh 2,499",No discount
Sundabest Classy juice/ water Glass Jug (11891),KSh 366,No discount
Qwen Wireless Earbuds In-ear Bluetooth Earphones Digital LED Display,KSh 650,46%
"Skyworth 55G3B, 55-inches 4K QLED 2022 Frameless Smart Android TV, Black (1YR WRTY)","KSh 54,999",21%
VON 1.7L CORDLESS KETTLE VSKL17BNK WHITE AND BLACK (1YR WRTY),"KSh 1,410",41%
Qwen 128GB Flash Disks USB Flash Drive High Speed,"KSh 1,200",33%
NIVEA Perfect & Radiant Luminous630 Anti Dark Marks Serum - 30ml-pack Of 2,"KSh 4,208",25%
Mara Ashwagandha Root Powder 100g,KSh 800,33%
Maybelline Fit Me Powder 330 Toffee,"KSh 1,348",5%
Wlisth Men's European Business Waterproof Watch - BLACK,"KSh 1,006",43%
Sundabest 6pc High Quality Milk Shake Glasses (130007760),KSh 660,No discount
Nunix Hair Blow Dryer With Beauty Accessories HD-01C - Red,"KSh 1,220",No discount
RichRipple 10000mAh Digital Display Power Bank Premium Black,KSh 836,46%
"Gld 43"" Smart Frameless Full HD LED Television - Black.","KSh 20,543",32%
Qwen Bluetooth Earbuds Wireless Headsets Earphone Gaming Earphone Sports Headphones,KSh 500,38%
"Haier HMW20MB Analog Microwave Oven 700W, 20L - Black","KSh 8,499",18%
"Hisense 43"" A4K Series Smart","KSh 31,530",30%
Garnier Skin Active Hydrabomb Green Tea Tissue Face Mask,KSh 365,No discount
Qwen Makeup Sponges Powder Puff Beaty Blender 6 Pcs/set,KSh 459,43%
