Name,Price,Discount
Miniso Soft Interdental Brushes  42 Pcs,KSh 599,No discount
Danny Home 1PC Bahamas Breakfast Mug (Dhmug-22e),KSh 480,No discount
Jbl Wind 3 FM Bluetooth Handlebar Speaker - Black,"KSh 7,749",No discount
Adidas Future Icons 3-Stripes T-Shirt Boys,"KSh 1,755",54%
Boma Meat Grinder BM-7015 2L- Electric Culinary Companion with 250W Motor,"KSh 2,640",No discount
Reflex Plus MINI SMALL BREED ADULT DOG FOOD SALMON 3KG,"KSh 3,968",No discount
Defacto Boy Casual Regular Fit Denim Trousers - Black,"KSh 1,171",60%
Trendline ADULT DOG FOOD- BEEF 15KG,"KSh 5,500",No discount
Nunix Free Standing Dispenser Hot & Normal – K7N,"KSh 4,069",1%
Miniso Botanical Garden Series Reed Diffuser - Citrus Solo,"KSh 1,019",No discount
Aworky Limited Plastic Cloth Storage Organization,"KSh 5,599",24%
LASA Cube Timer Countdown Settings 15-20-30-60 Minutes,"KSh 1,794",8%
Velvex Facial Tissue Petal Soft 140 Sheets,KSh 215,No discount
"Superfoam Water Proof Baby Cot Mattress (Foam Medium Density, Firm) 48"" X 24"" X 4""","KSh 2,316",No discount
Revlon ColorStay Makeup Combination/Oily Skin SPF15 30ml- Tofee,"KSh 1,700",48%
"TCL 65"" P635 4K HDR Google TV - Black","KSh 88,499",2%
Domyos Men's Fitness Regular-fit T-shirt Sportee - Black,"KSh 1,150 - KSh 1,250",No discount
Toughees Black Unisex Toughee Shoes,"KSh 2,499 - KSh 2,599",No discount
Go Turkey Crystal soap dispenser,KSh 899,50%
EDENBERG Cast Iron Manual Meat Mincer( Eb-9205 No-22),"KSh 3,840",No discount
Adidas W BL T Women T-shirt,"KSh 2,554",50%
Adidas Essentials Embroidered Small Logo T-Shirt Men,"KSh 1,905",50%
L'Oréal professionnel Scalp Advanced 2-in-1 Deep Purifier Clay Mask 500ml,"KSh 4,645",No discount
Dr. Rashel Vitamin C & Retinol Day Brightening & Anti-aging Face Serum(2 Pack),"KSh 2,000",No discount
"Sandisk Extreme SDHC UHS-I Card 128GB SD For Camera 180 MB/S Supports 4K UHD Read, 1YR WRTY","KSh 4,499",No discount
Wahl Chrome Super-Taper Commercial Grade Hair Clipper,"KSh 8,900",11%
Velvex Aluminium Foil 30cm X 30m Single Roll,KSh 720,No discount
Carlton Shuttle Cock T800 Medium (Tin Of 6),"KSh 2,000",No discount
Adidas PIERCO 2.0 FLIP FLOPS WOMEN,"KSh 3,638",No discount
"STAR WALKER WHISKEY, Old Cask Collection - 750ml + FREE GIFT INSIDE","KSh 1,250",26%
Miniso Disney Animals Collection Ice Pack 4 Pcs-Marie,KSh 399,No discount
Miniso Makeup Brush Color Removal Sponge 1 Container & 3 Sponges,KSh 340,No discount
"BOMGE Wireless Handheld Microphone,Metal Dual UHF Cordless Dynamic","KSh 3,188",26%
Adidas Advantage CF Infant Lifestyle Court Two Hook-and-loop Shoes,"KSh 4,347",30%
Adidas Unisex Essentials 3-stripes Cotton Tee,"KSh 2,290",30%
"Promate Velcon High-Definition ANC Wireless Neckband Earphones - Black, 1YR WRTY","KSh 3,799",No discount
Sony Wh-1000xm4 Headphone - Black,"KSh 41,745",No discount
Dettol Soap Herbal Soap 90gx3 3's on 90 Save 50,KSh 430,No discount
Adidas Loungewear Essentials Slim Logo T-Shirt Women,"KSh 2,290",50%
Danny Home Shinning Crystal Glass Set Of 4 (1988-75),KSh 840,No discount
Adidas Essentials Embroidered Linear Logo T-Shirt Men,"KSh 2,290",50%
Sundabest Classy High Quality Dinner Plates 6 Pcs (5977),"KSh 1,036",No discount
NIVEA MEN Men Shower Cool Kick For Men,"KSh 1,040",No discount
LASA 5-Drawer Storage - Dark Grey,"KSh 7,250",31%
Miniso Oval Shape Dry & Wet Dual Use Powder Puff (20 Pcs).,KSh 514,No discount
Danny Home Baharla 6 Pcs Whiskey Glasses ( 1988-01),"KSh 1,020",No discount
Adidas U 3S TEE KIDS,"KSh 2,290",30%
Aworky Limited Stainless steel spoons- 6pcs,KSh 999,No discount
Red Berry RSF507 Insulated Double Wall Vacuum Bottle – 500ml - Silver,KSh 726,No discount
Adidas M 3S SJ T MEN,"KSh 2,554",50%
LASA 60 Piece Nespresso Capsule Drawer Pod Metal Holder,"KSh 2,800",No discount
Miniso Cellulose Acetate Arc-shaped Rubber Band,KSh 219,No discount
Oxelo B1 Frame,"KSh 5,950",No discount
Adidas M LIN SJ T MEN,"KSh 4,374",No discount
Bata Child Rainbow Shoes,KSh 499,No discount
FORCLAZ by decathlon Men's Waterproof Leather High Trekking Boots - Mt100 - Shark,"KSh 19,400 - KSh 21,350",No discount
Body Sculpture A Pair Of 5lb (2.25kg) Wrist/Ankle Weights,"KSh 2,900",No discount
EDENBERG 6 Pcs Knife Set With Staninless Steel Stand And Handles (Eb-11003 Red/black),"KSh 2,760",No discount
EDENBERG 6 Pcs Knife Set With Staninless Steel Stand And Handles (Eb-11003 Green/black),"KSh 2,760",No discount
EDENBERG 7 Pc Knife Set With Stainless Steel Stand (Eb-11021 Green),"KSh 2,520",No discount
Samsung Galaxy Watch 4 44mm - Black,"KSh 23,500",No discount
Adidas G 3S TIG GIRLS,"KSh 3,062",30%
Adidas Women Essentials Big Logo Tee,"KSh 2,565",50%
Aworky Limited Table Mat Size 4pcs,KSh 649,19%
LASA Writing Desk- Vintage Brown/Black,"KSh 5,850",35%
Dr. Rashel Aloe Vera Facial Cleanser - 100g,KSh 650,No discount
Huggies Huggies Little Swimmers (4) Conv S3-4 Dest 12,"KSh 1,148",1%
Dove Shampoo Intensive Repair 400Ml,KSh 844,1%
Superfoam Premium High Density Quilted Mattress,"KSh 12,632 - KSh 40,000",No discount
"Ramtons RM/338 - Hot, Normal & Cold Free Standing Water Dispenser (1YR WRTY)","KSh 23,400",No discount
Miniso Women’s Ankle No-Show Socks  3 Pairs Watermelon,KSh 399,No discount
Sundabest 6 PCS White Square Decorated Ceramic Dinner Plates (11994),"KSh 1,200",No discount
Decathlon Lure Fishing Minnow Jerkbait Plug Bait Mnwfp 100 F,"KSh 1,000",No discount
LASA CE-LINK USB 2.0 Type-C To Type-B Square Printing Line 2M,KSh 600,25%
Dr. Rashel Vitamin C 3 Pack,"KSh 1,850",No discount
Yves Rocher Sensual Bath & Shower Gel - Bourbon Vanilla - 400ml,"KSh 1,290",No discount
Toughees Black Slip On Kids School Shoes Toughees.,"KSh 1,999",No discount
Go Turkey LAUNDRY BOX,"KSh 2,199 - KSh 2,599",45%
Adidas M 3S SJ T MEN T-shirt,"KSh 2,554",50%
Samsung Three Pin 45w Adapter - Black,"KSh 6,700",No discount
Patanjali Saundarya Aloe Vera Gel - 150 ml,KSh 700,17%
Closeup Red Hot Deep Action Gel Toothpaste 125g Value Pack,KSh 360,No discount
Miniso Silicone Baking Cups ( 9 Pcs ),KSh 659,No discount
UR Fashion 19-Inch High Quality Multifunctional Large Capacity Business College School Travel Laptop Backpack - Grey,"KSh 2,299",No discount
Breastfeeding Pillow - Multicolor -one size,"KSh 1,800",49%
biw biw Melasma Dark Spot Correcting Serum,"KSh 2,600",No discount
Nabaiji Silifins 500 Short Swimming - Black,"KSh 4,250",No discount
Miniso Western Style Colored Rubber Band 4pcs,KSh 219,No discount
Go Turkey FELTED Medium Laundry Basket Black,"KSh 2,395",39%
"Soul Skincare Eternal Youth Cream, 50g",KSh 800,45%
biw biw '4 In 1' PRO Eyeshadow + Brow Set,"KSh 1,250",22%
"Kipsta Shoes Bag Essential Black Orange, 15l",KSh 690,No discount
Bata NAVY BLUE JED,KSh 399,No discount
Mara Amla Oil Infusion ( Infused In Sesame Oil)-120ml,KSh 900,25%
TARMAK R100 - Durable Basketball - Size 7 - Orange,"KSh 1,550",No discount
Defacto Woman Young Relax Fit Woven Short Sleeve Shirt - Brown,"KSh 1,616",50%
Solarmax 80 AH  BATTERY+ INVERTER  + 3 FREE  BULBS,"KSh 7,500",25%
Legea Mondial Senior Unisex Stocking/Socks,KSh 620,No discount
"UMIDIGI G1 Tab Mini-8’‘HD（3GB,32GB）5000mAh,Android 14-Space Grey","KSh 5,999",50%
Miniso 4-in-1 Multifunctional Foot File,KSh 395,No discount
Frontline Plus Dog XL (1 Pip),"KSh 2,210",No discount
Decathlon Floating Nose Clip Blue,KSh 890,No discount
Bonnie PUPPY DOG FOOD LAMB & RICE 2.5KG,"KSh 2,053",No discount
Miniso Baby Manicure Kit - 1 Set,KSh 599,No discount
Adidas Cotton Graphic T-Shirt Boys,"KSh 1,832",47%
Adidas Girls' G Essentials 3-stripes Full-zip Hoodie,"KSh 3,848",50%
Toilet Set Velvet Grey,"KSh 1,500",No discount
Havells Stealth Wood 1200mm Designer Ceiling Fan,"KSh 20,000",38%
Danny Home Salerno 6 Pcs Whiskey Glasses ( 1988-25),"KSh 1,020",No discount
Aworky Limited Water Bottle,KSh 419,48%
Aworky Limited Table Mat Size 4pcs,KSh 799,16%
King PLUS ADULT CAT FOOD LAMB&RICE 15KG,"KSh 11,471",No discount
Danny Home Paradis 6 Pcs Whiskey Glasses ( 1988-26),"KSh 1,020",No discount
Miniso High Quality Earphones Headset Stereo Headphones,KSh 359,No discount
Adidas U 3S FL KIDS Essentials 3-stripes Fleece Joggers,"KSh 3,106",50%
North Star BATA BULLETS,KSh 999,No discount
"Dettol Soap Cool 175g x 2 Twin, Save 50",KSh 500,9%
Dr. Rashel Niacinamide Whitening Face Wash,KSh 900,No discount
Miniso Marvel USB Cable Type C Cable USB Charger,KSh 514,No discount
Durex Play Tingle Lubricant - 50ml,"KSh 1,200",No discount
Danny Home Babalar 6 Pcs Whiskey Glasses ( 1988-03),"KSh 1,020",No discount
Aworky Limited 3Pcs Bathroom Mat Set Velvet,"KSh 1,500",No discount
Sony MDR-ZX110AP Wired Headphones With Microphone,"KSh 3,995",No discount
Fashion Blue checked Travel Umbrella,KSh 549,21%
Nice & Soft Toilet Paper White 4 Pack Unwrapped,KSh 185,20%
Miniso S Shaped Asymmetric Hook - 2 Pcs,KSh 285,No discount
King  ADULT CAT FOOD FISH 4KG,"KSh 3,780",No discount
Dove Conditioner Moisturizing 350Ml,KSh 794,1%
"Rexona Men Invisible Ice Fresh Anti-Perspirant Deodorant Spray, 48h 200ml",KSh 849,1%
Danny Home Daily Cocktail 2 Piece Glasses. (Cry-01),"KSh 1,440",No discount
Aworky Limited Toilet Set Velvet Dark Blue,"KSh 1,500",No discount
Miniso Minimalist Cake Cutter Slicer,KSh 559,No discount
Euroken New KOLAV-M605 6.5 inch active rechargeable portable speaker Black,"KSh 2,279",37%
Transcend External Hard Drive - 2TB - USB 3.0,"KSh 13,500",No discount
U&I Gems Series Wireless Earphone-Black,"KSh 1,299",35%
LASA 120CM COMPUTER HOME OFFICE WRITING DESK,"KSh 14,350",28%
"C Idea Android 12 SIM Tablet 256GB ROM 800*1280 With Case, Keyboard CM835 Purple","KSh 7,999",47%
Solarmax 200AH SOLARMAX DEEP CYCLE SOLAR GEL BETTERY,"KSh 11,800",41%
Gilbert Official Ball For Rugby Ball #5 G-Tr4000,"KSh 4,000",No discount
Decathlon Adult Football Eco-design Shorts F100 - Black,"KSh 1,350",No discount
Quechua Men's Mountain Hiking Shoes - Mh100 - Grey,"KSh 6,950 - KSh 8,950",No discount
Health TFM Training/Playing Football Boots,"KSh 4,000",No discount
Adidas TR-ES BASE 3PT MEN,"KSh 4,392",50%
Danny Home 10 Inch/ 25 Cm Green Leaf Rectangular Porcelain Bakeware (Asc002-kp1),KSh 792,No discount
Aworky Limited Table Mat Size 4pcs,KSh 950,No discount
Go Turkey EGGY ORGANIZER,"KSh 1,352",30%
Danny Home 11 Inch/28 Cm Rectangular Porcelain Bakeware (1030-7) - Maroon & White,KSh 864,No discount
LASA Industrial Wall-Hanging Clothes Rail - Blac- 2 Pack,"KSh 5,750",28%
Body Sculpture 5Lb(2.25kg) Wrist/Ankle Weights,"KSh 3,400",No discount
Go Turkey Travel Shoes Organizer 6 pair,"KSh 1,199",20%
Inesis Polo Mw100 Black,"KSh 2,250",No discount
Dove Deeply Nourishing Body Wash – 500ml,"KSh 1,114",1%
Baby Diaper Backpack Nappy Bag Diaper Backpack Baby Bag,"KSh 1,499",25%
Maybelline New York Falsies Surreal Mascara - Washable,"KSh 2,250",No discount
Superfoam Morning Glory Heavy Duty Quilted Mattress,"KSh 6,316 - KSh 22,105",No discount
Catpapa Baby Girls Polkadot Print Jumpsuit White Sleeveless Romper,KSh 878,40%
Dove Baby Head to Toe Wash Rich Moisture 400ml,"KSh 1,169",1%
EDENBERG 6 Pc Knife Set With Stainless Steel Stand And Rubber Handles (Eb-11062 Grey W/marble),"KSh 2,040",No discount
LASA 9 Cube Wire Metal Grid Bookcase Shelf Storage Cabinet Organizer,"KSh 4,050",42%
L'Oréal Paris Infallible 24H More Than Concealer 323 Fawn,"KSh 1,435",30%
Body Sculpture A Pair Of 3Kg Exercices & Fitness Smart Dumbbell,"KSh 2,900",No discount
"Miniso Stylish Hair Clips Sectioning Hair, Hair Styling Clips",KSh 514,No discount
Adidas Men's Essentials Single Jersey Big Logo Tee,"KSh 2,565",50%
Kipsta Football Boots Viralto I Fg - Blue/yellow,"KSh 8,650",No discount
"Superfoam Baby Cot Mattress 48"" X 24"" X 4"" (Foam Medium Density Quilted Mattress, Firm)","KSh 2,737",No discount
Ramtons RM/299 - Kitchen Scale - Bowl - Silver,"KSh 2,450",No discount
LASA 124cm Gaming Black Desk With Steel Frame,"KSh 28,950",32%
LASA Coat Rack With 3 Shelves Stand With Hooks For Bags,"KSh 6,150",44%
Adidas Essentials Embroidered Linear Logo T-Shirt Men,"KSh 2,290",50%
Adidas Men's Single Jersey Big Logo Tee,"KSh 2,565",50%
Velvex Clear Cling Film 30cm X 30m Single Roll,KSh 128,20%
Reflex ADULT DOG FOOD LAMB  RICE & VEG. 15KG,"KSh 12,075",No discount
Go Turkey Soft White Bowl,KSh 864,46%
Miniso Men's Boxer Briefs XL/XXL,KSh 738,No discount
Wahl Commercial Grade Super  Taper Clipper,"KSh 9,000",36%
Aworky Limited DOORMAT(PET DESIGN),KSh 479 - KSh 809,20%
Body Sculpture Exercise Fitness Skipping Rope,KSh 800,No discount
LASA POWERLOT USB C A GAN PD QC 63W 2 PORT CHARGER,"KSh 4,500",No discount
"Alfa Tennikoit Tennis Rings 7""",KSh 500,No discount
Velvex Premium Kitchen Towel Pink Single Roll,KSh 195,No discount
Miniso Double-Sided Metal Foot File,KSh 514,No discount
Wahl 5 - Star Series Balding Professional Hair Clipper,"KSh 9,000",40%
Decathlon Low Tennis Socks Rs 100 Tri-pack - White,KSh 890,No discount
Superfoam Morning Glory Medium Density Quilted Mattress - Red,"KSh 7,368 - KSh 14,737",No discount
TARMAK R100 - Basketball - Size 5 - Yellow,"KSh 1,550",No discount
Velvex Deep Colour Charcoal Black Napkins 38cm,KSh 305,No discount
Velvex Deep Colour Sunset Orange Napkins 33cm,KSh 250,No discount
Bata NERA CONVERSION,"KSh 1,199",No discount
Superfoam Moderna Bedset,"KSh 25,263 - KSh 43,158",No discount
Midea MF-CN40D2 Non Stick 4.7L Manual Air Fryer-1500W - Black,"KSh 9,195",34%
Alfa Cricket Ball Club 2 Pieces Design 156g,"KSh 1,400",No discount
RichRipple LED Display Bluetooth Headsets 9D Stereo Wireless Earphones Earpods,KSh 519,44%
RichRipple Pro3 Bluetooth Headsets Wireless Pods Pro Earpods Earphones,KSh 499,34%
"Samsung GALAXY A15, 6.5'' HD+, 4GB RAM + 128GB ROM, DUAL SIM, 50MP,  5000mAh - Black","KSh 15,898",47%
Itel ISW-O11 Waterproof Native Storm  Smart Watch,"KSh 1,550",30%
RichRipple Pro3 Bluetooth Headsets Wireless Pods Pro Earpods Earphones,KSh 499,40%
Stereo F9 Bluetooth Earphone  Power Headset,KSh 510,45%
"XIAOMI Redmi 13C , 6.74""  8GB RAM + 256GB ROM, 50MP AI Triple Camera, 5000mAh (Dual Sim) - Midnight Black","KSh 16,450",47%
"Infinix HOT 40i,5000mah,(4GB RAM+4GB RAM)128GB ROM,50MP,TYPE-C,+BUDS WATCH","KSh 13,199",34%
"XIAOMI Redmi 13C, 6.71""(4GB RAM+128GB Storage)5000mAh Dual Sim-Black","KSh 13,198",6%
Ace Elec ACEELEC F9 Wireless Fingerprint Touch Bluetooth Headset,KSh 390,44%
"Tecno Spark 20, 6.6'' HD+, UP to 8GB RAM + 128GB ROM (Dual Sim) 50MP, 5000 mAh - Cyber White","KSh 14,399",45%
"Samsung Galaxy A15, 6.5'' Display, 4GB RAM + 128GB ROM (Dual Sim) 50MP,  5000mAh - Blue(2YRs WRTY)","KSh 15,899",47%
RichRipple Desktop Mobile Phone Holder Portable Foldable Phone Stands,KSh 249,38%
ColorScreen  SmartWatch Heart Rate Sport Bracelet,KSh 555,40%
RichRipple Pro2+ Bluetooth Headsets Wireless Pods Pro Earpods Earphones,KSh 599,21%
"Samsung Galaxy A05, 6.7"", 64GB + 4GB (Dual SIM), 5000mAh, Black (2YRs WRTY)","KSh 11,901",8%
Qwen Wireless Earbuds Bluetooth Headset Touch Control Earphones With Digital Led Display,KSh 580,42%
Smartwatch Business Bluetooth Waterproof Sport,KSh 587,45%
RichRipple Pro6 Bluetooth Headsets Wireless Pods Pro Earpods Earphones,KSh 557,45%
RichRipple P9 Bluetooth Headsets Hi-Fi Stereo Noise Reduction Headphone,KSh 743,46%
Gionee DCQ D1 Power Banks 10000 MAh,KSh 750,50%
Wireless Earphones Bluetooth 5.3 Finger Touch Headset HIFI Slide Cover.,KSh 650,48%
"Itel A70,6.66 Display Upto 8GB RAM + 128GB ROM 8MP 5000mAh,","KSh 10,410",42%
"XIAOMI Redmi 13C , 6.74""  4GB RAM + 128GB ROM, 50MP AI Triple Camera, 5000mAh (Dual Sim) - Navy Blue","KSh 13,198",47%
Mirror Face 10000mAh Portable Power Charging Bank,KSh 790,34%
RichRipple 4in1 Pack Phone Camera Tripod Stand 1/4 Screw Head Remote Control Selfie,KSh 929,38%
"6"" Ring Light Mirror For Selfie YouTube Video Phone Holder Stand Shooting With 3 Light Modes",KSh 557,47%
ARHANORY Phone Tripod Stand Mobile Phone Holder Mount Ring Light Set Selfie Stick-Black,KSh 469,40%
Ace Elec ACEELEC F9 Wireless Fingerprint Touch Bluetooth Headset,KSh 380,46%
"Samsung  Galaxy A15, 6.5'' Display, 6GB RAM + 128GB ROM (Dual Sim) 50MP, 5000mAh+WATCH BUDS","KSh 18,599",38%
XIAOMI Redmi 13C 6.74'' 4GB 128GB Android 13 Dual SIM +SMARTWATCH BUDS,"KSh 14,199",29%
"Oppo A18,6.6"",64GB+4GB, 8MP, 90Hz, 5000mAh (Dual Sim) Glowing Black, 1YR WRTY","KSh 12,708",26%
RichRipple Purple Metal Desktop Phones & Tablets Holder Foldable Stand,KSh 329,44%
RichRipple Pro3 Bluetooth Headsets Wireless Pods Pro Earpods Earphones,KSh 492,40%
"Tecno SPARK 20,6.6 HD+,90GHZ REFRESH RATE,50MP,UPTO 8GB RAM,128GB ROM,DUAL SPEAKERS+SW BDS","KSh 14,999",25%
GUIXIA Tws Wireless Bluetooth Headsets Earphones Inpods12,KSh 399,42%
Remote Bluetooth Selfie Stick +Tripod Stand + Fill Light  Multiple Function,KSh 450,43%
Wireless Fingerprint Touch Bluetooth 5.0 Earphone With Mic,KSh 440,45%
Smartwatch Blood Pressure And Heart Rate Monitor,KSh 599,40%
"Huawei Y7 Pro 4G LTE Mobile Phone 4GB + 128GB Dual Camera 6.26"" 4000mah","KSh 8,599",49%
"Tecno Camon 20  6.67-inch 256GB+8GB RAM-64 MP-battery-5000mAh-+ALL GIFTS,./CY//","KSh 22,499",25%
RichRipple Phone Tripod 3in1 Wireless Remote Control Selfie Stick With LED Light,KSh 455,35%
Oraimo FreePods Lite ENC 40-hour Playtime Havybass True Wireless Earbuds,"KSh 2,100",16%
"Samsung GALAXY A15, 6.5'', 4GB RAM + 128GB ROM, DUAL SIM, 50MP, 5000mAh - Blue + Smart watch & Power Bank","KSh 16,740",44%
Color Screen Smart Watch Heart Rate Sport Bracelet,KSh 545,45%
Oraimo  FreePods Lite ENC 40-hour Playtime Heavybass True Wireless Earbuds,"KSh 1,899",24%
RichRipple T900 Ultra 2 Smart Watch Band Bluetooth Call Smart Watches,"KSh 1,115",42%
Qwen TWS Wireless Earbuds Headset With Power Bank Black,KSh 829,45%
V9 Wireless Bluetooth Earphone/Bluetooth Headphone,KSh 445,37%
"Samsung Galaxy A15, 6.5'', 6GB RAM + 128GB ROM (Dual Sim) 50MP,  5000mAh - Blue + Free Gifts","KSh 18,199",39%
Fast Charging 10000mAh Power Charging Bank Black,KSh 790,31%
GUIXIA  F9 Wireless Headset Bluetooth Earphone True Bass With Power Banc,KSh 445,44%
"XIAOMI Redmi 13C, 6.74""  8GB RAM + 256GB ROM, 50MP AI Triple Camera, 5000mAh (Dual Sim) - Midnight Black + Free Gifts","KSh 16,899",44%
"Oppo A18,6.6"",64GB+4GB, 8MP, 90Hz, 5000mAh (Dual Sim) Glowing Blue, 1YR WRTY","KSh 12,454",27%
"Itel 2163, 1.8""screen  1000mAh, Bright Torch...Wireless FM- Dual Sim//Blue","KSh 1,220",32%
RichRipple 6A 120w Super Fast Charge 3in1 USB Charging Cable,KSh 299,29%
Oraimo FreePods Lite ENC 40-hour Playtime Havybass True Wireless Earbuds With APP Control-Black,"KSh 1,899",24%
GUIXIA Tws Wireless Bluetooth Headsets Earphones Pro4,KSh 427,48%
Oraimo Traveller 4 20000mAh 2.1A Triple Ports Fast Charging Power Bank- Black 1YR WRTY,"KSh 2,299",34%
RichRipple P9 Bluetooth Headsets Hi-Fi Stereo Noise Reduction Headphone,KSh 699,49%
"Oraimo Deeper Bass, HD Sound Earphone + Mic",KSh 378,5%
"Tecno CAMON 20, 6.67"", 256GB + 8GB, 64MP, (Dual SIM), 5000mAh - Black + Free Gifts","KSh 21,699",46%
Lenovo HT38 Bluetooth Earphones 5.0 TWS Bluetooth Earbuds,KSh 899,39%
RichRipple 180 °Rotatable Phone Holder Retractable Disc Base Phone Stand,KSh 339,44%
"Itel S23 6.6"", 128GB ROM + Up To 8GB RAM, 50MP Camera, 5000mAh+CELLINY 8","KSh 11,299",44%
"Tecno SPARK 20,6.6 HD+,90GHZ REFRESH RATE,50MP,UPTO 8GB RAM,128GB ROM,DUAL SPEAKERS,","KSh 14,440",28%
New SmartWatch Bluetooth Calls Fitness Bracelet Waterproof,KSh 880,47%
"XIAOMI  Redmi 13C , 6.74"" 8GB RAM + 256GB ROM, 50MP AI Triple Camera, 5000mAh (Dual Sim) -+f9 +SWATCH","KSh 17,499",42%
"Oppo A18,6.6"",128GB+4GB, 8MP, 90Hz, 5000mAh (Dual Sim) Glowing Blue, 2YRs WRTY","KSh 15,417",23%
"XIAOMI Redmi Note 13, 6.67"", 256GB + 8GB RAM (Dual SIM), 5000mAh, Black","KSh 25,790",48%
"Samsung  Galaxy A15, 6.5'' Display, 6GB RAM + 128GB ROM (Dual Sim) 50MP, 5000mAh+SPEAKER WATCH 2","KSh 18,750",22%
"Infinix HOT 40i,5000mah,(4GB RAM+4GB RAM)128GB ROM,50MP,TYPE-C,+MAGNIFIER","KSh 13,580",32%
Lenovo LP40 Pro Bluetooth Earbuds Headset With Mic,"KSh 1,099",38%
Qwen Memory Card 64GB High Speed C10 Red,KSh 599,40%
RichRipple T500+PRO 2 Smart Watch Band Health Monitor Smart Watches,"KSh 1,115",42%
GUIXIA  Pro3 In-ear Wireless Bluetooth Headsets Headphones I13,KSh 459,39%
Lenovo HE05 Magnetic Neckband Headphones For Android IOS,KSh 599,33%
In-Ear Wireless Touch Bluetooth Earphones Sport Headsets With Noise Reduction,KSh 595,46%
ColorScreen  SmartWatch Heart Rate Sport Bracelet,KSh 537,45%
Oppo A31 6GB RAM+128G ROM Refurbished 6.5 Inch Screen HD Camera 12MP-Black,"KSh 9,699",44%
Oraimo Rock Stereo Bass Super Long Playtime IPX5 Waterproof True Wireless Earbuds,"KSh 2,050",22%
"Itel 2160// Dual SIM//Black//""C.E""","KSh 1,480",18%
"U&I Gun Series Wired Earphones, Black",KSh 79,47%
F9 Bluetooth Earbuds High Sound Quality Fingerprint Touch Pod,KSh 550,45%
"Infinix Hot 40i, 6.78""HD , 128GB ROM + 4GB RAM (Dual SIM), 50MP, 5000mAh - Horizon Gold.","KSh 12,545",48%
Qwen Wireless Earbuds In-ear Bluetooth Earphones Digital LED Display,KSh 650,46%
RichRipple 10000mAh Digital Display Power Bank Premium Black,KSh 836,46%
Qwen Bluetooth Earbuds Wireless Headsets Earphone Gaming Earphone Sports Headphones,KSh 500,38%
Portable Phone Holder Adjustable Phone Stand & Ipad Stand Holder(Black),KSh 120,40%
Sports Wireless Bluetooth Earphone Neck Hanging Headset,KSh 265,44%
"Vivo Y02t - 6.51'', 4GB RAM + 64GB ROM - (Dual SIM) - 5000mAh - Cosmic Grey (2YRs WRTY)","KSh 9,999",47%
ColorScreen  SmartWatch Heart Rate Sport Bracelet,KSh 533,45%
Full Touch Screen Smart Watch - For Android & IOS,"KSh 1,049",48%
Wireless Headset Bluetooth Earphone,KSh 510,48%
Samsung 25 W Fast Type C Charger 25W USB C Adapter,KSh 930,No discount
GUIXIA  Tws Wireless Bluetooth Headsets Earphones Inpods12,KSh 459,39%
C Idea 10.1 Inch Android Tablet PC 12 Dual Camera Sim 8GB RAM 512GB Bluetooth Fntastic Gray,"KSh 13,999",33%
"OPPO A91 8+128 GB 6.4"" 4Camera Dual Sim 4025mAh SmartPhone","KSh 12,999",50%
"Oppo Refurbished OPPO F7 6.2 ""FHD+ 6GB+128GB Black","KSh 7,888",25%
F9-32 T W S Bluetooth Headset,KSh 410,49%
"Samsung Galaxy A15, 6.5'' HD+, 4GB RAM + 128GB ROM, DUAL SIM, 50MP,  5000mAh - Black + FREEBIES","KSh 17,599",41%
"Samsung  Galaxy A15, Display 6.5"" //128GB Storage + 4GB RAM //Dual SIM //5000mAh //50MP Camera /Ksly -LB","KSh 15,899",47%
"XIAOMI Redmi 13C , 6.74""  4GB RAM + 128GB ROM, 50MP AI, 5000mAh (Dual Sim) - Midnight Black","KSh 13,198",47%
"Tecno POP 7,6.6"" HD+, 64GB ROM + 2GB RAM, 5000mAh, 8MP,","KSh 10,590",38%
Oppo A83 4GB RAM+64GB Refurbished -4G LTE Dual SIM-5.7-inch- Face Unlock -Red.,"KSh 7,169",44%
Smartwatch Business Bluetooth Waterproof Sport,KSh 577,41%
"Oppo A18,6.6"",128GB+4GB, 8MP, 90Hz, 5000mAh (Dual Sim) Glowing Black (2YRs WRTY)","KSh 15,417",23%
Samsung 15W Galaxy TYPE C FAST Charger,KSh 799,47%
Wireless Bluetooth Earphone Digital Power LED Display,KSh 554,49%
Oraimo OEP-650 Halo Airy Wired Earphone - Black,KSh 367,21%
XIAOMI Redmi 13C 6.74'' 4GB 128GB Android 13 Dual SIM+BT SPEAKER C,"KSh 14,090",26%
"Infinix  Smart 8, 6.6"" HD Display, 4GB RAM Expandable Up to 6GB + 64GB ROM, Android 13 (Dual sim) 5000mAh - Black","KSh 10,999",45%
"Itel A70 Awesome,6.6 Big Screen Dynamic Bar,13MP,5000MAH,Type-c,upto 8GB RAM & 128GB ROM","KSh 10,400",13%
RichRipple Sucker Stand Black Portable Power Bank 10000mAh,"KSh 1,099",35%
GUIXIA  M10 Wireless Headset Bluetooth Earphone True Bass With Power Banc,KSh 479,40%
TWS Bluetooth Earbuds Heavy Bass Fingerprint Touch Control,KSh 550,45%
Lenovo XT88 Bluetooth 5.3 Earbuds Earphones Headset,"KSh 1,498",25%
"Itel A04, 6.3"", Display Size2GB RAM + 32GB ROM, (Dual SIM), 4000mAh,sply""","KSh 8,250",31%
